Spec,Population,Week
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
,,8/19/2025
Elemental Shaman,33362.0,2025-08-19
Affliction Warlock,23422.0,2025-08-19
Destruction Warlock,16324.0,2025-08-19
Arcane Mage,52689.0,2025-08-19
Assassination Rogue,31917.0,2025-08-19
Demonology Warlock,29494.0,2025-08-19
Outlaw Rogue,5896.0,2025-08-19
Shadow Priest,37563.0,2025-08-19
Enhancement Shaman,9752.0,2025-08-19
Havoc Demon Hunter,50136.0,2025-08-19
Fury Warrior,38735.0,2025-08-19
Marksmanship Hunter,32169.0,2025-08-19
Feral Druid,10412.0,2025-08-19
Devastation Evoker,30325.0,2025-08-19
Subtlety Rogue,4715.0,2025-08-19
Frost Death Knight,48893.0,2025-08-19
Windwalker Monk,19998.0,2025-08-19
Unholy Death Knight,17353.0,2025-08-19
Beast Mastery Hunter,43461.0,2025-08-19
Frost Mage,22947.0,2025-08-19
Survival Hunter,3791.0,2025-08-19
Fire Mage,2295.0,2025-08-19
Balance Druid,34638.0,2025-08-19
Augmentation Evoker,2226.0,2025-08-19
Retribution Paladin,48368.0,2025-08-19
Arms Warrior,4579.0,2025-08-19
